epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,1.0,0.11595628,1.0,0.9981372,0.0010583062791867368,1.0,0.16103896,1.0,0.99833786,0.0010145653149206796
1,1.0,0.18329048,1.0,0.99829906,0.0010037469966036679,1.0,0.18051948,1.0,0.9983371,0.0009919387800921384
2,1.0,0.17634961,1.0,0.99828285,0.0010019934711290313,1.0,0.17532468,1.0,0.9983379,0.0009952338109932108
3,1.0,0.18791774,1.0,0.9983047,0.0009858827098087129,1.0,0.17077923,1.0,0.9983376,0.0009937920756925309
4,1.0,0.18688945,1.0,0.9982909,0.0009866283998318504,1.0,0.18311688,1.0,0.9983381,0.0009858192301936623
5,1.0,0.18791774,1.0,0.9982973,0.000974141052093115,1.0,0.18636364,1.0,0.99833554,0.0009841017297683768
6,1.0,0.18688945,1.0,0.9982743,0.0009808898820597724,1.0,0.17857143,1.0,0.9983372,0.0009997314814509909
7,1.0,0.19228792,1.0,0.9982929,0.0009667661530070267,1.0,0.18766233,1.0,0.9983379,0.000992216879069917
8,1.0,0.19100258,1.0,0.9982636,0.0009704644552215097,1.0,0.16558442,1.0,0.9983369,0.0009959103153393356
9,1.0,0.1866324,1.0,0.9982812,0.0009633670000563554,1.0,0.17922078,1.0,0.99833834,0.0009946497597742234
10,1.0,0.18508998,1.0,0.998285,0.0009580829849460879,1.0,0.16493507,1.0,0.99833745,0.0009972135352583863
11,1.0,0.19845758,1.0,0.99829143,0.0009491715017185849,1.0,0.18636364,1.0,0.9983389,0.001005040274510786
12,1.0,0.18971722,1.0,0.9982776,0.000950167558652593,1.0,0.16753247,1.0,0.99833715,0.0010096575791078964
13,1.0,0.18817481,1.0,0.99829876,0.0009468892653483729,1.0,0.17532468,1.0,0.9983386,0.0010053268248062617
14,1.0,0.18431877,1.0,0.99826485,0.0009482143768850004,1.0,0.19090909,1.0,0.998337,0.0010117334997630679
15,1.0,0.19228792,1.0,0.9982878,0.0009362171627380288,1.0,0.18831168,1.0,0.99833816,0.0010134228093299392
16,1.0,0.17120823,1.0,0.9982789,0.000937891972611955,1.0,0.18376623,1.0,0.99833816,0.0010201453409110824
