epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,1.0,0.93028283,0.049405407,0.668831,0.005322013496419677,1.0,0.92236406,0.14415585,0.7805562,0.004954060788913448
1,1.0,0.9476047,0.10565553,0.7452362,0.004288328151640564,1.0,0.9308446,0.18181819,0.79944056,0.004340376545049178
2,1.0,0.95604646,0.16195373,0.78545964,0.003748455927993612,1.0,0.92777014,0.17467533,0.78311765,0.004801025172293355
3,1.0,0.9632272,0.16864285,0.8166981,0.0033058890403899754,1.0,0.8698817,0.18571429,0.704671,0.007082781198815527
4,1.0,0.96803397,0.19228792,0.8380232,0.002998363217998581,1.0,0.801956,0.17142858,0.6266208,0.010080005985672599
5,1.0,0.9721288,0.18380472,0.8571945,0.0027420914257167183,1.0,0.9033895,0.18701299,0.75597376,0.005655445730579751
6,1.0,0.9746945,0.18663299,0.86893046,0.0025720836799326,1.0,0.84747285,0.17532468,0.674691,0.008483504453014776
7,1.0,0.97703,0.18843298,0.87931126,0.0024106165167144078,1.0,0.9003734,0.16948052,0.75004464,0.0060273159053418545
8,1.0,0.9785677,0.17969175,0.88702005,0.002311982841656551,1.0,0.8474274,0.17207792,0.67565435,0.008621386158001888
9,1.0,0.97999805,0.18174998,0.8934299,0.002203498204064025,1.0,0.89115506,0.18506494,0.7357788,0.006467667163815349
10,1.0,0.98113245,0.18047018,0.898804,0.0021220953013494004,1.0,0.8745715,0.17727272,0.710564,0.007477158525438568
11,1.0,0.98254746,0.17713146,0.90577984,0.0020218076703426265,1.0,0.9326492,0.18051948,0.8084495,0.004523056006669853
12,1.0,0.9829682,0.1676276,0.907469,0.001988768007233577,1.0,0.9052832,0.18636364,0.75848633,0.006159601885335544
13,1.0,0.9840558,0.15505919,0.9127103,0.0018916613766501382,1.0,0.9105525,0.15194805,0.7677713,0.0058417923308533995
14,1.0,0.98469055,0.14206874,0.9161755,0.0018406933639520291,1.0,0.8996025,0.16948052,0.7486716,0.006592676043964003
15,1.0,0.9849781,0.104742385,0.9179951,0.0018195940344305967,1.0,0.9245307,0.12207808,0.79383767,0.005166821553320443
16,1.0,0.98564065,0.091905184,0.9214117,0.0017543757207234307,1.0,0.9189571,0.06753486,0.7847723,0.005622456596133166
17,1.0,0.9861065,0.05606571,0.9235233,0.0017204950289074986,1.0,0.9505617,0.04938612,0.8484504,0.0038036557420930983
18,1.0,0.9864647,0.03403841,0.9258998,0.0016862053353320099,1.0,0.9274943,0.0046515516,0.79997754,0.005201059296597158
