filename,label_name,existence,dice,recall,precision
00001.nii.gz,HCC, "1",0.908233258057027,0.997870523171104,0.8333726030669124
00001.nii.gz,cyst, "1",0.0,0.0,0.0
00001.nii.gz,angioma, "0", "", "", ""
00017.nii.gz,HCC, "1",0.9488907939030254,0.9972751205319668,0.9049841068529973
00017.nii.gz,cyst, "1",0.0,0.0,0.0
00017.nii.gz,angioma, "0", "", "", ""
00020.nii.gz,HCC, "1",0.9299381343817724,0.9992929985431485,0.8695854819885828
00020.nii.gz,cyst, "1",0.0,0.0,0.0
00020.nii.gz,angioma, "0", "", "", ""
00022.nii.gz,HCC, "1",0.920683842548359,0.999053269051674,0.8537152655645445
00022.nii.gz,cyst, "1",0.0,0.0,0.0
00022.nii.gz,angioma, "0", "", "", ""
00043.nii.gz,HCC, "1",0.9508670796071657,0.9982765703750464,0.9077565077947756
00043.nii.gz,cyst, "1",0.0,0.0,0.0
00043.nii.gz,angioma, "0", "", "", ""
00082.nii.gz,HCC, "1",0.9477003850599078,0.9985435764377593,0.9017839379269182
00082.nii.gz,cyst, "1",0.0018679950186799503,0.0009612303748798462,0.03296703296703297
00082.nii.gz,angioma, "0", "", "", ""
00094.nii.gz,HCC, "1",0.9292400388343495,0.9758820413104022,0.8868531468531469
00094.nii.gz,cyst, "1",0.22557595993322205,0.19683020626966555,0.26415389427588365
00094.nii.gz,angioma, "0", "", "", ""
00115.nii.gz,HCC, "1",0.9344855280442781,0.9931977290472851,0.8823273531002375
00115.nii.gz,cyst, "1",0.0,0.0,0.0
00115.nii.gz,angioma, "0", "", "", ""
00120.nii.gz,HCC, "1",0.9093964899593553,0.9988159414001309,0.8346720913510292
00120.nii.gz,cyst, "1",0.0,0.0,0.0
00120.nii.gz,angioma, "0", "", "", ""
00137.nii.gz,HCC, "1",0.9156201895811391,0.9914357461647275,0.8505762265393481
00137.nii.gz,cyst, "1",0.0,0.0,0.0
00137.nii.gz,angioma, "0", "", "", ""
00173.nii.gz,HCC, "1",0.9345166293296571,0.995790430459472,0.8803464243535996
00173.nii.gz,cyst, "1",0.03778617470549011,0.019270006801178872,0.9659090909090909
00173.nii.gz,angioma, "0", "", "", ""
00174.nii.gz,HCC, "1",0.9132448325467531,0.9983928263493705,0.8414792249242772
00174.nii.gz,cyst, "1",0.0,0.0,0.0
00174.nii.gz,angioma, "0", "", "", ""
00205.nii.gz,HCC, "1",0.9271859352516075,0.9962970359170399,0.8670410590238985
00205.nii.gz,cyst, "1",0.0,0.0,0.0
00205.nii.gz,angioma, "0", "", "", ""
